q      	sum          	Hg-I_2       	H_1-I_2      	I_2-I_2      	I_1-I_2      	O-Hg         	O-I_1        	H_2-Hg       	C-I_1        	H_1-I_1      	H_1-H_1      	C-C          	O-O          	H_2-H_2      	C-H_2        	O-I_2        	C-H_1        	C-I_2        	Hg-I_1       	O-H_2        	Hg-Hg        	H_1-H_2      	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	I_1-I_1      	H_2-I_2      	C-Hg        
0.465 	35193.9     	5243.4      	-209.403    	2744.87     	1007.11     	-978.502    	-783.541    	-173.126    	-531.4      	-367.057    	-1171.11    	4119.18     	9055.24     	373.5       	255.123     	-503.759    	379.217     	-575.093    	5243.4      	63.9839     	6300.44     	-33.7478    	-82.1538    	3157.84     	1475.71     	-468.459    	2744.87     	-97.8869    	-994.738    
0.475 	35157.7     	5170.23     	-204.821    	2742.16     	903.091     	-918.048    	-760.945    	-173.047    	-524.812    	-357.957    	-1143.22    	4092.74     	9120.69     	372.93      	255.48      	-491.32     	369.276     	-563.811    	5170.23     	54.8759     	6296.44     	-37.4071    	-80.9543    	3239.32     	1416.75     	-443.188    	2742.16     	-96.1645    	-992.971    
0.485 	35123.3     	5096.14     	-199.084    	2739.4      	800.847     	-843.741    	-723.548    	-172.957    	-515.806    	-341.242    	-1117.26    	4057.74     	9178.52     	372.298     	253.878     	-476.921    	356.568     	-551.218    	5096.14     	44.3489     	6292.36     	-41.4165    	-79.6982    	3313.42     	1340.36     	-410.684    	2739.4      	-94.2338    	-990.311    
0.495 	35091.5     	5021.19     	-192.186    	2736.59     	700.527     	-758.838    	-673.508    	-172.787    	-504.451    	-318.027    	-1093       	4016.49     	9229.72     	371.609     	250.636     	-460.531    	341.221     	-537.6      	5021.19     	32.5596     	6288.2      	-45.8081    	-78.362     	3380.85     	1250.6      	-372.797    	2736.59     	-92.1347    	-986.413    
0.505 	35063.3     	4945.39     	-184.176    	2733.73     	602.276     	-667.029    	-613.555    	-172.468    	-490.915    	-289.707    	-1070.07    	3971.54     	9275.64     	370.872     	246.157     	-442.221    	323.465     	-523.285    	4945.39     	19.7203     	6283.97     	-50.5981    	-76.9243    	3442.73     	1152.08     	-331.593    	2733.73     	-89.9138    	-980.971    
0.515 	35039.4     	4868.8      	-175.163    	2730.82     	506.228     	-572.233    	-546.828    	-171.934    	-475.46     	-257.878    	-1048.05    	3925.59     	9317.93     	370.096     	240.896     	-422.181    	303.621     	-508.622    	4868.8      	6.08262     	6279.66     	-55.7882    	-75.3668    	3500.45     	1049.65     	-289.235    	2730.82     	-87.6214    	-973.736    
0.525 	35020.4     	4791.45     	-165.318    	2727.87     	412.516     	-478.383    	-476.706    	-171.125    	-458.425    	-224.241    	-1026.47    	3881.27     	9358.45     	369.295     	235.337     	-400.714    	282.079     	-493.961    	4791.45     	-8.08011    	6275.27     	-61.3678    	-73.6757    	3555.65     	948.091     	-247.86     	2727.87     	-85.3077    	-964.529    
0.535 	35006.9     	4713.37     	-154.871    	2724.86     	321.263     	-389.218    	-406.624    	-169.994    	-440.216    	-190.517    	-1004.82    	3841.01     	9399.17     	368.481     	229.961     	-378.242    	259.267     	-479.637    	4713.37     	-22.4911    	6270.81     	-67.3161    	-71.8433    	3610.13     	851.873     	-209.467    	2724.86     	-83.0205    	-953.254    
0.545 	34998.9     	4634.61     	-144.108    	2721.81     	232.588     	-308.094    	-339.898    	-168.504    	-421.285    	-158.349    	-982.595    	3806.92     	9442.08     	367.665     	225.223     	-355.293    	235.636     	-465.951    	4634.61     	-36.8875    	6266.27     	-73.6052    	-69.8686    	3665.77     	764.906     	-175.812    	2721.81     	-80.8016    	-939.905    
0.555 	34996.5     	4555.2      	-133.357    	2718.71     	146.601     	-237.822    	-279.561    	-166.634    	-402.111    	-129.223    	-959.285    	3780.69     	9489.11     	366.858     	221.52      	-332.49     	211.63      	-453.157    	4555.2      	-51.0362    	6261.66     	-80.2027    	-67.758     	3724.45     	690.348     	-148.326    	2718.71     	-78.6848    	-924.564    
